states,x,y
Andhra Pradesh,-70,-160
Arunachal Pradesh,228,98
Assam,174,52
Bihar,61,49
Chhattisgarh,-9,-37
Goa,-162,-156
Gujarat,-203,-6
Haryana,-116,115
Himachal Pradesh,-83,174
Jarkhand,50,6
Karnataka,-132,-171
Kerala,-128,-244
Madhya Pradesh,-79,-1
Maharashtra,-127,-74
Manipur,219,24
Meghalaya,156,32
Mizoram,202,-8
Nagaland,229,55
Odisha,37,-57
Punjab,-128,153
Rajasthan,-171,71
Sikkim,113,70
Tamil Nadu,-68,-240
Telangana,-60,-107
Tripura,156,5
Uttarakhand,-53,142
Uttar Pradesh,-17,58
West Bengal,95,-8
Andaman & Nicobar, 187,-251
Daman & Diu,-188,-66
Jammu & Kashmir,-133,222
Lakshadweep,-184,-265
Chandigarh,-112,144
Delhi,-83,104
Ladakh,-69,237
Puducherry,-20,-221